"44.9772995,-93.2654692","('Minneapolis', ['https://www.cbsnews.com/news/trump-photo-op-lafayette-park-protesters-watchdog-report/', 'https://www.washingtonpost.com/national/justices-to-decide-if-charge-fits-minneapolis-police-killing/2021/06/08/2eb68aba-c8d4-11eb-8708-64991f2acf28_story.html'])"
"39.7837304,-100.4458825","('MI', ['http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
,"('La.', ['http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
"34.395342,-111.763275","('Arizona', ['https://www.cbsnews.com/news/arizona-fire-emergency-declaration-doug-ducey/', 'https://www.cbsnews.com/news/mega-drought-colorado-river-system-water-system/', 'https://www.nytimes.com/2021/06/09/opinion/republican-party-2022.html', 'https://www.nytimes.com/2021/06/09/opinion/us-democracy-republicans.html', 'https://nytimes.com/2021/06/09/opinion/republican-party-2022.html', 'https://nytimes.com/2021/06/09/opinion/us-democracy-republicans.html', 'https://www.washingtonpost.com/climate-environment/2021/06/09/biden-epa-clean-water-act/', 'https://www.bbc.com/news/world-us-canada-57420166'])"
"37.504936,-122.2618236","('San Carlos', ['https://www.cbsnews.com/news/arizona-fire-emergency-declaration-doug-ducey/'])"
"50.1303605,-123.1197357","('Top-of-the-World area', ['https://www.cbsnews.com/news/arizona-fire-emergency-declaration-doug-ducey/'])"
"-34.8282571,-56.0128082","('East El Capitan', ['https://www.cbsnews.com/news/arizona-fire-emergency-declaration-doug-ducey/'])"
"1.357107,103.8194992","('Singapore', ['https://www.cbsnews.com/news/president-biden-revokes-trumps-attempted-tiktok-ban/'])"
"35.000074,104.999927","('CHINA', ['http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
"35.1345127,33.9225856","('Northern California', ['https://www.cbsnews.com/video/rising-tick-population-prompts-lyme-disease-warning-in-california/', 'https://www.cbsnews.com/news/ticks-california-beaches-lyme-disease/'])"
"36.7014631,-118.755997","('Calif.', ['https://www.nytimes.com/2021/06/09/sports/tennis-sexual-abuse.html', 'https://www.washingtonpost.com/national-security/2021/06/09/marine-corps-commandant-forces-out-general-cited-fatal-amphibious-vehicle-disaster/'])"
"42.3788774,-72.032366","('Massachusetts', ['https://www.cbsnews.com/news/verda-tetteh-college-scholarship/', 'http://cnn.com/2021/06/09/business/best-buy-thanksgiving-closed-2021/index.html'])"
"8.0300284,-1.0800271","('Ghana', ['https://www.cbsnews.com/news/verda-tetteh-college-scholarship/', 'https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"34.1976308,-119.1803818","('Oxnard', ['https://www.cbsnews.com/news/oxnard-california-hazard-pay-stimulus-american-rescue-plan/'])"
"34.0536909,-118.242766","('Los Angeles', ['https://www.cbsnews.com/news/oxnard-california-hazard-pay-stimulus-american-rescue-plan/', 'https://www.washingtonpost.com/sports/2021/06/09/mone-davis-broadcaster-dc-grays/', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"41.6500201,-72.7342163","('Connecticut', ['https://www.cbsnews.com/news/oxnard-california-hazard-pay-stimulus-american-rescue-plan/', 'https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/', 'http://cnn.com/2021/06/09/business/boeing-air-force-one-delay/index.html'])"
"33.7690164,-118.191604","('Long Beach', ['https://www.cbsnews.com/news/oxnard-california-hazard-pay-stimulus-american-rescue-plan/'])"
"40.7127281,-74.0060152","('New York City', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/', 'https://www.cbsnews.com/news/new-york-city-mayor-debate-how-to-watch/', 'https://www.nytimes.com/2021/06/09/opinion/pride-police-nyc.html', 'https://nytimes.com/2021/06/09/opinion/pride-police-nyc.html', 'http://cnn.com/2021/06/09/entertainment/ben-affleck-jennifer-lopez-timeline-trnd/index.html', 'http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
"51.3540172,-0.45972042721173684","('Heights', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/'])"
"40.8401984,-73.9402214","('Washington Heights', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/'])"
"52.2609997,-7.1119081","('Waterford', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/'])"
"-35.1190606,147.3029865","('West Side Story', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/'])"
"40.0757384,-74.4041622","('New Jersey', ['https://www.cbsnews.com/news/ticks-california-beaches-lyme-disease/', 'https://www.cbsnews.com/news/new-york-city-mayor-debate-how-to-watch/', 'https://www.cbsnews.com/news/biden-infrastructure-bill-ends-negotiations-republican-senators/', 'https://www.nytimes.com/2021/06/09/style/modern-love-podcast-Hindu-horoscopes-astrology.html', 'https://nytimes.com/2021/06/09/style/modern-love-podcast-Hindu-horoscopes-astrology.html', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html', 'http://cnn.com/2021/06/09/business-money/approaching-retirement-feseries/index.html'])"
"22.5000485,-100.0000375","('Mexico', ['https://www.cbsnews.com/news/fentanyl-seizures-texas-mexico-border-immigration/', 'https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.cbsnews.com/news/el-chapo-wife-expected-guilty-plea-emma-coronel-aispuro/'])"
"38.7251776,-105.607716","('Colorado', ['https://www.cbsnews.com/news/fentanyl-seizures-texas-mexico-border-immigration/', 'https://www.cbsnews.com/news/samantha-moreno-rodriguez-san-jose-mom-arrested-suspicion-killing-son-liam-husted/', 'https://www.cbsnews.com/news/el-chapo-wife-expected-guilty-plea-emma-coronel-aispuro/', 'https://www.washingtonpost.com/local/legal-issues/trump-election-claims-capitol-breach-defendants/2021/06/08/036f57ee-bf22-11eb-9c90-731aff7d9a0d_story.html'])"
"31.7754152,-106.464634","('El Paso', ['https://www.cbsnews.com/news/fentanyl-seizures-texas-mexico-border-immigration/'])"
"41.5051613,-81.6934446","('Cleveland', ['https://www.cbsnews.com/news/lordstown-motors-might-not-stay-business/', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"59.938732,30.316229","('St. Petersburg', ['https://www.cbsnews.com/news/russia-covid-cases-deaths-rise-many-decline-sputnik-vaccine/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.washingtonpost.com/sports/2021/06/09/euro-2020-covid/'])"
"55.7504461,37.6174943","('MOSCOW', ['https://www.nytimes.com/2021/06/09/world/europe/navalny-ban-putin-biden-summit.html'])"
"10.2735633,-84.0739102","('Costa Rica', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
